Year,Rounded,Prop,Site
2022,11,0,TNC_23
2022,12,0,TNC_23
2022,13,0,TNC_23
2022,14,0,TNC_23
2022,15,0,TNC_23
2022,16,0,TNC_23
2022,17,1.851851852,TNC_23
2022,18,1.851851852,TNC_23
2022,19,0,TNC_23
2022,20,1.851851852,TNC_23
2022,21,0.925925926,TNC_23
2022,22,0,TNC_23
2022,23,0.925925926,TNC_23
2022,24,0.925925926,TNC_23
2022,25,0,TNC_23
2022,26,0,TNC_23
2022,27,0,TNC_23
2022,28,0,TNC_23
2022,29,0,TNC_23
2022,30,0,TNC_23
2022,31,0.925925926,TNC_23
2022,32,0,TNC_23
2022,33,0,TNC_23
2022,34,0.925925926,TNC_23
2022,36,0,TNC_23
2022,40,0,TNC_23
2022,42,0,TNC_23
2022,44,0,TNC_23
2022,45,0.925925926,TNC_23
2022,47,0,TNC_23
2022,48,0,TNC_23
2022,57,0,TNC_23
2022,59,0,TNC_23
2022,11,0.925925926,TNC_16
2022,12,0,TNC_16
2022,13,0,TNC_16
2022,14,0,TNC_16
2022,15,0,TNC_16
2022,16,0.925925926,TNC_16
2022,17,0.925925926,TNC_16
2022,18,2.777777778,TNC_16
2022,19,1.851851852,TNC_16
2022,20,0.925925926,TNC_16
2022,21,2.777777778,TNC_16
2022,22,0.925925926,TNC_16
2022,23,0,TNC_16
2022,24,4.62962963,TNC_16
2022,25,0.925925926,TNC_16
2022,26,0,TNC_16
2022,27,0.925925926,TNC_16
2022,28,1.851851852,TNC_16
2022,29,1.851851852,TNC_16
2022,30,0,TNC_16
2022,31,0,TNC_16
2022,32,0,TNC_16
2022,33,0.925925926,TNC_16
2022,34,0,TNC_16
2022,36,0,TNC_16
2022,40,0,TNC_16
2022,42,0.925925926,TNC_16
2022,44,0.925925926,TNC_16
2022,45,0,TNC_16
2022,47,0,TNC_16
2022,48,0,TNC_16
2022,57,0.925925926,TNC_16
2022,59,0,TNC_16
2022,11,1.851851852,TNC_19
2022,12,0.925925926,TNC_19
2022,13,6.481481481,TNC_19
2022,14,6.481481481,TNC_19
2022,15,3.703703704,TNC_19
2022,16,5.555555556,TNC_19
2022,17,3.703703704,TNC_19
2022,18,0,TNC_19
2022,19,1.851851852,TNC_19
2022,20,0.925925926,TNC_19
2022,21,0,TNC_19
2022,22,0,TNC_19
2022,23,0,TNC_19
2022,24,0,TNC_19
2022,25,0,TNC_19
2022,26,0,TNC_19
2022,27,0,TNC_19
2022,28,0.925925926,TNC_19
2022,29,0.925925926,TNC_19
2022,30,0,TNC_19
2022,31,0,TNC_19
2022,32,0.925925926,TNC_19
2022,33,0,TNC_19
2022,34,0,TNC_19
2022,36,0.925925926,TNC_19
2022,40,0,TNC_19
2022,42,0,TNC_19
2022,44,0,TNC_19
2022,45,0,TNC_19
2022,47,0,TNC_19
2022,48,0,TNC_19
2022,57,0,TNC_19
2022,59,0.925925926,TNC_19
2023,11,0,TNC_25
2023,12,0.564971751,TNC_25
2023,13,1.129943503,TNC_25
2023,14,2.259887006,TNC_25
2023,15,1.129943503,TNC_25
2023,16,0.564971751,TNC_25
2023,17,2.824858757,TNC_25
2023,18,1.129943503,TNC_25
2023,19,1.129943503,TNC_25
2023,20,1.129943503,TNC_25
2023,21,0.564971751,TNC_25
2023,22,0.564971751,TNC_25
2023,23,1.694915254,TNC_25
2023,24,1.129943503,TNC_25
2023,25,0,TNC_25
2023,26,0.564971751,TNC_25
2023,27,1.129943503,TNC_25
2023,28,1.129943503,TNC_25
2023,29,1.129943503,TNC_25
2023,31,0.564971751,TNC_25
2023,32,0,TNC_25
2023,33,0,TNC_25
2023,34,0,TNC_25
2023,37,0,TNC_25
2023,39,0,TNC_25
2023,40,0,TNC_25
2023,41,0,TNC_25
2023,45,0,TNC_25
2023,48,0.564971751,TNC_25
2023,51,0.564971751,TNC_25
2023,59,0,TNC_25
2023,11,0,TNC_23
2023,12,0.564971751,TNC_23
2023,13,0.564971751,TNC_23
2023,14,0.564971751,TNC_23
2023,15,0,TNC_23
2023,16,0.564971751,TNC_23
2023,17,0.564971751,TNC_23
2023,18,1.694915254,TNC_23
2023,19,0.564971751,TNC_23
2023,20,0.564971751,TNC_23
2023,21,0.564971751,TNC_23
2023,22,0,TNC_23
2023,23,0,TNC_23
2023,24,0,TNC_23
2023,25,0,TNC_23
2023,26,0,TNC_23
2023,27,0.564971751,TNC_23
2023,28,0.564971751,TNC_23
2023,29,0,TNC_23
2023,31,0,TNC_23
2023,32,1.129943503,TNC_23
2023,33,0,TNC_23
2023,34,0.564971751,TNC_23
2023,37,0,TNC_23
2023,39,0.564971751,TNC_23
2023,40,0,TNC_23
2023,41,0,TNC_23
2023,45,0,TNC_23
2023,48,0,TNC_23
2023,51,0,TNC_23
2023,59,0,TNC_23
2023,11,0,TNC_16
2023,12,0,TNC_16
2023,13,0,TNC_16
2023,14,0,TNC_16
2023,15,0.564971751,TNC_16
2023,16,1.129943503,TNC_16
2023,17,0,TNC_16
2023,18,2.259887006,TNC_16
2023,19,1.129943503,TNC_16
2023,20,0,TNC_16
2023,21,0.564971751,TNC_16
2023,22,0.564971751,TNC_16
2023,23,1.129943503,TNC_16
2023,24,0.564971751,TNC_16
2023,25,0.564971751,TNC_16
2023,26,0.564971751,TNC_16
2023,27,0.564971751,TNC_16
2023,28,1.694915254,TNC_16
2023,29,1.129943503,TNC_16
2023,31,1.129943503,TNC_16
2023,32,0.564971751,TNC_16
2023,33,1.694915254,TNC_16
2023,34,0,TNC_16
2023,37,0.564971751,TNC_16
2023,39,0.564971751,TNC_16
2023,40,0.564971751,TNC_16
2023,41,0,TNC_16
2023,45,0.564971751,TNC_16
2023,48,0,TNC_16
